"Target Group";Subcamp;"Original Order Number";Country;"Troop Name";"Kid ID Code"
SC1_G08;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";wAu3nEtX-4
SC1_G08;1;IST-54674;"Czech Republic";Stopa;oOZMNKXF-5
SC1_G08;1;IST-54674;"Czech Republic";Stopa;Z1dFLPP3-6
SC1_G08;1;IST-27230;"The Netherlands";"De Peelspeurders";wsnoKJ0M-14
SC1_G08;1;IST-27230;"The Netherlands";"De Peelspeurders";fuxOm7D0-13
SC1_G08;1;IST-18955;Poland;"Skalne Nietoperze";wZAcmx0x-1
SC1_G08;1;IST-18955;Poland;"Skalne Nietoperze";jtPv4Fec-2
SC1_G08;1;IST-18955;Poland;"Skalne Nietoperze";JDRvv3bL-3
SC1_G09;1;IST-27230;"The Netherlands";"De Peelspeurders";lifJ7GHe-25
SC1_G09;1;IST-17804;"United States";"Scout Troop 154 (Boys)";RcRo7K3i-7
SC1_G09;1;IST-12623;"United States";Radioactive;43nbFK6A-5
SC1_G09;1;IST-12623;"United States";Radioactive;YVFnyTnN-4
SC1_G09;1;IST-27230;"The Netherlands";"De Peelspeurders";YcTISNwf-26
SC1_G09;1;IST-13297;"The Netherlands";"Scouting Den Oever";6VAZBuIF-2
SC1_G09;1;IST-13297;"The Netherlands";"Scouting Den Oever";Ll1Cs89S-3
SC1_G09;1;IST-13297;"The Netherlands";"Scouting Den Oever";BjnBejxV-1
SC1_G09;1;IST-17804;"United States";"Scout Troop 154 (Boys)";BugdMpno-8
SC1_G10;1;IST-96201;Poland;"Czata wymiata";MRp8vNEV-1
SC1_G10;1;IST-10906;Poland;"Czarne Siódemki";w2uQzGIS-5
SC1_G10;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";A3MBc2KF-3
SC1_G10;1;IST-10906;Poland;"Czarne Siódemki";l3y9Bw6i-6
SC1_G10;1;IST-96201;Poland;"Czata wymiata";6pSOC2py-3
SC1_G10;1;IST-96201;Poland;"Czata wymiata";9Uot5BQw-2
SC1_G10;1;IST-20119;Poland;"7 DH Arkana";jDwNjshp-5
SC1_G10;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";8ezc7HHO-4
SC1_G10;1;IST-20119;Poland;"7 DH Arkana";K57AMm0C-4
SC1_G11;1;IST-16688;"Czech Republic";"Sopka Nová Paka";Ye7p3pKa-1
SC1_G11;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";7vZLVAJ4-16
SC1_G11;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";a5EWHYeI-15
SC1_G11;1;IST-13297;"The Netherlands";"Scouting Den Oever";bVKsCJS6-14
SC1_G11;1;IST-27230;"The Netherlands";"De Peelspeurders";nuSccKdr-6
SC1_G11;1;IST-13297;"The Netherlands";"Scouting Den Oever";Lg1cKFJD-15
SC1_G11;1;IST-18955;Poland;"Skalne Nietoperze";dWTXSNIP-4
SC1_G11;1;IST-18955;Poland;"Skalne Nietoperze";XOcI8GSs-5
SC1_G11;1;IST-16688;"Czech Republic";"Sopka Nová Paka";tKSAd6FM-2
SC1_G11;1;IST-27230;"The Netherlands";"De Peelspeurders";aVYsuglv-5
SC1_G12;1;IST-18013;Poland;Watrzaki;9enlvRDy-2
SC1_G12;1;IST-16688;"Czech Republic";"Sopka Nová Paka";y9kYVaeM-16
SC1_G12;1;IST-18013;Poland;Watrzaki;Pw9Jmp5T-3
SC1_G12;1;IST-96201;Poland;"Czata wymiata";7n6vrAj0-5
SC1_G12;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";rwT56b1K-6
SC1_G12;1;IST-27230;"The Netherlands";"De Peelspeurders";mfHLUXCC-16
SC1_G12;1;IST-27230;"The Netherlands";"De Peelspeurders";o4tfPfZB-15
SC1_G12;1;IST-18013;Poland;Watrzaki;WtoWiR9e-1
SC1_G12;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";9LP6ZqfF-5
SC1_G12;1;IST-16688;"Czech Republic";"Sopka Nová Paka";uLxyVGOc-15
SC1_G12;1;IST-96201;Poland;"Czata wymiata";T8wmdjii-4
SC1_G13;1;IST-12623;"United States";Radioactive;s0Nb5fbR-7
SC1_G13;1;IST-17804;"United States";"Scout Troop 154 (Boys)";XghSQzcu-9
SC1_G13;1;IST-12623;"United States";Radioactive;ICOjjFPs-6
SC1_G13;1;IST-18013;Poland;Watrzaki;vGL6jzxJ-5
SC1_G13;1;IST-13297;"The Netherlands";"Scouting Den Oever";OosRyLmg-5
SC1_G13;1;IST-17804;"United States";"Scout Troop 154 (Boys)";nJqDvOA3-10
SC1_G13;1;IST-18013;Poland;Watrzaki;n6FLiS5G-4
SC1_G13;1;IST-27230;"The Netherlands";"De Peelspeurders";F1SQRU1J-27
SC1_G13;1;IST-27230;"The Netherlands";"De Peelspeurders";95WLlN4w-28
SC1_G13;1;IST-13297;"The Netherlands";"Scouting Den Oever";0TBPH6vf-4
SC1_G14;1;IST-20119;Poland;"7 DH Arkana";NDhbbz7a-7
SC1_G14;1;IST-20119;Poland;"7 DH Arkana";zUBExTi1-6
SC1_G14;1;IST-10906;Poland;"Czarne Siódemki";5qeLPLBt-7
SC1_G14;1;IST-13297;"The Netherlands";"Scouting Den Oever";8pHQf2mB-17
SC1_G14;1;IST-13297;"The Netherlands";"Scouting Den Oever";gxSFJUsH-16
SC1_G14;1;IST-16688;"Czech Republic";"Sopka Nová Paka";QAYHza7v-17
SC1_G14;1;IST-16688;"Czech Republic";"Sopka Nová Paka";1nz7xtZt-18
SC1_G14;1;IST-10906;Poland;"Czarne Siódemki";KJukuc92-8
SC1_G14;1;IST-27230;"The Netherlands";"De Peelspeurders";z0vhNbKI-30
SC1_G14;1;IST-27230;"The Netherlands";"De Peelspeurders";p1SZXRN0-29
SC1_G15;1;IST-16688;"Czech Republic";"Sopka Nová Paka";dV8FYvyK-4
SC1_G15;1;IST-13297;"The Netherlands";"Scouting Den Oever";EuLqvr9Q-18
SC1_G15;1;IST-13297;"The Netherlands";"Scouting Den Oever";F6NStIyT-19
SC1_G15;1;IST-16688;"Czech Republic";"Sopka Nová Paka";dykctsHq-3
SC1_G15;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";CvqlQHFz-17
SC1_G15;1;IST-27230;"The Netherlands";"De Peelspeurders";PLpK9NGf-8
SC1_G15;1;IST-18955;Poland;"Skalne Nietoperze";Kv8eUum7-6
SC1_G15;1;IST-18955;Poland;"Skalne Nietoperze";WVv8QEI2-7
SC1_G15;1;IST-27230;"The Netherlands";"De Peelspeurders";qkzhVOe9-7
SC1_G15;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";YalCtChm-18
SC1_G16;1;IST-96201;Poland;"Czata wymiata";PoWEI6xk-7
SC1_G16;1;IST-18013;Poland;Watrzaki;wekStIyI-6
SC1_G16;1;IST-18013;Poland;Watrzaki;zynScGYX-7
SC1_G16;1;IST-27230;"The Netherlands";"De Peelspeurders";l6ySLFOa-17
SC1_G16;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";n9zvuKgQ-7
SC1_G16;1;IST-27230;"The Netherlands";"De Peelspeurders";xiD2ClbO-18
SC1_G16;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";BtJes54G-8
SC1_G16;1;IST-13297;"The Netherlands";"Scouting Den Oever";ZXI7ruEE-6
SC1_G16;1;IST-13297;"The Netherlands";"Scouting Den Oever";d47oDYKu-7
SC1_G16;1;IST-96201;Poland;"Czata wymiata";oGLl9YCU-6
SC1_G17;1;IST-27230;"The Netherlands";"De Peelspeurders";LSwWyVBn-31
SC1_G17;1;IST-20119;Poland;"7 DH Arkana";ALYalH67-9
SC1_G17;1;IST-13297;"The Netherlands";"Scouting Den Oever";YyF86gyr-20
SC1_G17;1;IST-13297;"The Netherlands";"Scouting Den Oever";9mZdYdRZ-21
SC1_G17;1;IST-20119;Poland;"7 DH Arkana";aPQlZSBZ-8
SC1_G17;1;IST-16688;"Czech Republic";"Sopka Nová Paka";F7k1bzo1-20
SC1_G17;1;IST-17804;"United States";"Scout Troop 154 (Boys)";ZE5GZVLw-2
SC1_G17;1;IST-17804;"United States";"Scout Troop 154 (Boys)";ebEJrQGK-1
SC1_G17;1;IST-16688;"Czech Republic";"Sopka Nová Paka";TwQlpGhd-19
SC1_G17;1;IST-27230;"The Netherlands";"De Peelspeurders";Gq7NR8am-32
SC1_G18;1;IST-10906;Poland;"Czarne Siódemki";LXdj0LPW-9
SC1_G18;1;IST-10906;Poland;"Czarne Siódemki";Sno5ucTN-10
SC1_G18;1;IST-17804;"United States";"Scout Troop 154 (Boys)";L8b2QjRE-12
SC1_G18;1;IST-17804;"United States";"Scout Troop 154 (Boys)";AdxkJjsd-11
SC1_G18;1;IST-16688;"Czech Republic";"Sopka Nová Paka";YXOTnMtH-6
SC1_G18;1;IST-16688;"Czech Republic";"Sopka Nová Paka";D34CC9hX-5
SC1_G18;1;IST-27230;"The Netherlands";"De Peelspeurders";K3XFTQad-38
SC1_G18;1;IST-27230;"The Netherlands";"De Peelspeurders";hRWMABsf-37
SC1_G18;1;IST-18013;Poland;Watrzaki;qCPpQvaj-8
SC1_G18;1;IST-18013;Poland;Watrzaki;49hoWwVL-9
SC1_G19;1;IST-27230;"The Netherlands";"De Peelspeurders";x5buatLX-10
SC1_G19;1;IST-13297;"The Netherlands";"Scouting Den Oever";Y5EOMbn0-22
SC1_G19;1;IST-13297;"The Netherlands";"Scouting Den Oever";j9rHRtWH-23
SC1_G19;1;IST-27230;"The Netherlands";"De Peelspeurders";SdYBuJEN-9
SC1_G19;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";wjX2q2Wz-20
SC1_G19;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";9T9rrM9o-19
SC1_G19;1;IST-18955;Poland;"Skalne Nietoperze";DcCoLm28-9
SC1_G19;1;IST-18955;Poland;"Skalne Nietoperze";3YFP7eMo-8
SC1_G19;1;IST-96201;Poland;"Czata wymiata";D4Sk8GIj-9
SC1_G19;1;IST-96201;Poland;"Czata wymiata";qQLj5bcv-8
SC1_G20;1;IST-13297;"The Netherlands";"Scouting Den Oever";0Y000cMP-8
SC1_G20;1;IST-16688;"Czech Republic";"Sopka Nová Paka";pIOHwGPg-8
SC1_G20;1;IST-27230;"The Netherlands";"De Peelspeurders";PUZOhziW-20
SC1_G20;1;IST-18013;Poland;Watrzaki;X97Pj8wc-11
SC1_G20;1;IST-18013;Poland;Watrzaki;pwdL7MUr-10
SC1_G20;1;IST-16688;"Czech Republic";"Sopka Nová Paka";XJOHpOur-7
SC1_G20;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";MI41BgIZ-10
SC1_G20;1;IST-13297;"The Netherlands";"Scouting Den Oever";x5JZDapr-9
SC1_G20;1;IST-27230;"The Netherlands";"De Peelspeurders";HFrkl1Hm-19
SC1_G20;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";IdmebkGo-9
SC1_G21;1;IST-13297;"The Netherlands";"Scouting Den Oever";jXXyAVGT-25
SC1_G21;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";UglE7aKG-2
SC1_G21;1;IST-27230;"The Netherlands";"De Peelspeurders";XVjuavNS-34
SC1_G21;1;IST-13297;"The Netherlands";"Scouting Den Oever";macrFmHf-24
SC1_G21;1;IST-17804;"United States";"Scout Troop 154 (Boys)";duXC2Uxr-3
SC1_G21;1;IST-20119;Poland;"7 DH Arkana";34nLyBf9-11
SC1_G21;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";ai6Ny3uv-1
SC1_G21;1;IST-20119;Poland;"7 DH Arkana";kU1TyWWR-10
SC1_G21;1;IST-17804;"United States";"Scout Troop 154 (Boys)";QruShf3D-4
SC1_G21;1;IST-27230;"The Netherlands";"De Peelspeurders";WIXqpWke-33
SC2_G01;2;IST-18820;Germany;"DPSG Stamm Cherusker";e676c2vm-3
SC2_G01;2;IST-84861;"Czech Republic";Třebechovice;yleDYxGN-11
SC2_G01;2;IST-18820;Germany;"DPSG Stamm Cherusker";MFzvRgyS-1
SC2_G01;2;IST-23514;"Czech Republic";"Junák Kostelec nad Orlicí";pixxIT7j-5
SC2_G01;2;IST-11133;GB;"DPSG Kempen";VQG3VzIB-173
SC2_G01;2;IST-23514;"Czech Republic";"Junák Kostelec nad Orlicí";bfSphVZX-6
SC2_G01;2;IST-18820;Germany;"DPSG Stamm Cherusker";R5TROuay-2
SC2_G01;2;IST-11133;Germany;"DPSG Kempen";48l3S3nk-125
SC2_G01;2;IST-11133;Germany;"DPSG Kempen";AC0yd5FK-124
SC2_G01;2;IST-84861;"Czech Republic";Třebechovice;hJHlfLoL-12
SC2_G01;2;IST-11133;GB;"DPSG Kempen";7PQxXco8-172
SC2_G02;2;IST-18688;"Czech Republic";Core;iMoMKm2Q-2
SC2_G02;2;IST-64944;"Czech Republic";Želivák;TvX4D7NE-7
SC2_G02;2;IST-64944;"Czech Republic";Želivák;Z8gP6dwQ-8
SC2_G02;2;IST-40890;"United States";303;oFrjLXWY-3
SC2_G02;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";QLyKGWlP-26
SC2_G02;2;IST-46593;Germany;"DPSG Wegberg";NyzCy6ph-3
SC2_G02;2;IST-46593;Germany;"DPSG Wegberg";9k8OSu2h-4
SC2_G02;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";heoJ9J1B-25
SC2_G02;2;IST-40890;"United States";303;2ieNSIIk-4
SC2_G02;2;IST-18688;"Czech Republic";Core;VFtoz2hD-1
SC2_G03;2;IST-46593;Germany;"DPSG Wegberg";vPCXykun-30
SC2_G03;2;IST-17058;"United States";"St. Bernhard";8lc7XdPa-17
SC2_G03;2;IST-17058;"United States";"St. Bernhard";ERUhldeU-16
SC2_G03;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";LXHhCm9z-23
SC2_G03;2;IST-11133;Germany;"DPSG Kempen";swuUotUz-49
SC2_G03;2;IST-11133;Germany;"DPSG Kempen";Fts9KI77-48
SC2_G03;2;IST-46593;Germany;"DPSG Wegberg";EVrecsk4-29
SC2_G03;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";cvH9HYv0-22
SC2_G03;2;IST-12285;"Czech Republic";Goliath;GXFW6owO-4
SC2_G03;2;IST-12285;"Czech Republic";Goliath;i6IwzOB5-3
SC2_G04;2;IST-84861;"Czech Republic";Třebechovice;OFnYf4lr-19
SC2_G04;2;IST-17338;"United States";"Wiesbaden Troop";xHYnSQBB-13
SC2_G04;2;IST-17338;"United States";"Wiesbaden Troop";nSetTfou-12
SC2_G04;2;IST-19768;"United States";"Troop 681 Basel";fhTfhGlw-15
SC2_G04;2;IST-19768;"United States";"Troop 681 Basel";ixurGvK9-14
SC2_G04;2;IST-75688;"The Netherlands";"St. Rumoldus";pVtUN9gg-2
SC2_G04;2;IST-75688;"The Netherlands";"St. Rumoldus";Hre8aVja-1
SC2_G04;2;IST-83825;Poland;"FDDH 2";j1KE9DJx-15
SC2_G04;2;IST-83825;Poland;"FDDH 2";KD57gcFT-14
SC2_G04;2;IST-84861;"Czech Republic";Třebechovice;KzoO0oGx-20
SC2_G05;2;IST-11133;Germany;"DPSG Kempen";v5xFA0aL-127
SC2_G05;2;IST-11133;Germany;"DPSG Kempen";s86WCLnf-41
SC2_G05;2;IST-63079;Poland;"Zawiercie 1";B9ErPlCu-3
SC2_G05;2;IST-63079;Poland;"Zawiercie 1";NCtSxxUU-1
SC2_G05;2;IST-11133;Germany;"DPSG Kempen";TwtRqKDA-40
SC2_G05;2;IST-63079;Poland;"Zawiercie 1";5rQCu7fY-2
SC2_G05;2;IST-11133;Germany;"DPSG Kempen";JHXCA9EA-126
SC2_G05;2;IST-46593;Germany;"DPSG Wegberg";exGqrPGC-27
SC2_G05;2;IST-46593;Germany;"DPSG Wegberg";wj9bxcwC-28
SC2_G05;2;IST-19596;"United States";"Troop 240";WhyE9U7s-13
SC2_G05;2;IST-19596;"United States";"Troop 240";Y3iujZBF-12
SC2_G06;2;IST-11256;GB;"1st Maisons-Laffitte International";qmndHQ36-1
SC2_G06;2;IST-87889;"United States";"Girl Scouts of the USA";i2BYuLXN-30
SC2_G06;2;IST-87889;"United States";"Girl Scouts of the USA";KJYM4kBo-29
SC2_G06;2;IST-97382;"The Netherlands";"Scouting Ewijk";zuSoS7l3-8
SC2_G06;2;IST-15785;"The Netherlands";"Marnix van Sint Aldegonde";XpDo4HOc-4
SC2_G06;2;IST-15785;"The Netherlands";"Marnix van Sint Aldegonde";LTu5eSGb-5
SC2_G06;2;IST-11256;GB;"1st Maisons-Laffitte International";yIGxDk58-2
SC2_G06;2;IST-11133;Germany;"DPSG Kempen";HSib8uCH-16
SC2_G06;2;IST-97382;"The Netherlands";"Scouting Ewijk";ZbCKFdRq-7
SC2_G06;2;IST-11133;Germany;"DPSG Kempen";vDc10BqC-17
SC2_G07;2;IST-87889;"United States";"Girl Scouts of the USA";Bgj6DEmy-21
SC2_G07;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";i7hpIe02-18
SC2_G07;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";BCvpLKUd-19
SC2_G07;2;IST-18979;Belgium;"Central Brussels Scouts";6b0gtI00-1
SC2_G07;2;IST-18979;Belgium;"Central Brussels Scouts";J7PeUjtz-2
SC2_G07;2;IST-11133;Germany;"DPSG Kempen";CLFuK2AM-128
SC2_G07;2;IST-11133;Germany;"DPSG Kempen";y42OPFkw-129
SC2_G07;2;IST-18979;Belgium;"Central Brussels Scouts";A3YfzDnz-3
SC2_G07;2;IST-64944;"Czech Republic";Želivák;HxC5HHiy-6
SC2_G07;2;IST-87889;"United States";"Girl Scouts of the USA";FdlwZrRN-22
SC2_G07;2;IST-64944;"Czech Republic";Želivák;MPx2LQI4-5
SC2_G08;2;IST-10147;Poland;"Zawiercie 2";mtKxurSe-12
SC2_G08;2;IST-23514;"Czech Republic";"Junák Kostelec nad Orlicí";OSIhkMYb-12
SC2_G08;2;IST-10147;Poland;"Zawiercie 2";843mOwl1-13
SC2_G08;2;IST-20570;Poland;Granda;jzNYQdRM-7
SC2_G08;2;IST-20570;Poland;Granda;AemQcWJb-8
SC2_G08;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";PyTRmcPc-27
SC2_G08;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";NeUpPI4o-28
SC2_G08;2;IST-35004;Slovakia;"Zbor Irmy Ševcechovej";lYI3sGNo-2
SC2_G08;2;IST-35004;Slovakia;"Zbor Irmy Ševcechovej";UfAJfyUX-1
SC2_G08;2;IST-23514;"Czech Republic";"Junák Kostelec nad Orlicí";vMRYmHJa-11
SC2_G09;2;IST-17058;Germany;"St. Bernhard";UKWafusr-1
SC2_G09;2;IST-17058;Germany;"St. Bernhard";Li1fFgvn-2
SC2_G09;2;IST-17058;Germany;"St. Bernhard";UMpcRYXx-3
SC2_G09;2;IST-18820;Germany;"DPSG Stamm Cherusker";89H4moOW-4
SC2_G09;2;IST-18820;Germany;"DPSG Stamm Cherusker";1zBYXxAy-5
SC2_G09;2;IST-11133;Germany;"DPSG Kempen";uNxWnBUZ-131
SC2_G09;2;IST-11133;Germany;"DPSG Kempen";SIh0OfV4-130
SC2_G09;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";1ucXUzDT-20
SC2_G09;2;IST-65379;"The Netherlands";"Scouting Johannes Vianney";RLTUvhmg-19
SC2_G09;2;IST-11133;GB;"DPSG Kempen";0B96nMRT-150
SC2_G09;2;IST-11133;GB;"DPSG Kempen";svWo2RdR-151
SC2_G10;2;IST-54943;"Czech Republic";"AD FONTES";RtUyDEBx-1
SC2_G10;2;IST-95976;Belgium;"Brussels Explorers";Q3KsBuS4-10
SC2_G10;2;IST-40890;"United States";303;RxwVvW6e-5
SC2_G10;2;IST-18688;"Czech Republic";Core;kqcuS3Gf-3
SC2_G10;2;IST-95976;Belgium;"Brussels Explorers";BwDENiB3-9
SC2_G10;2;IST-11133;GB;"DPSG Kempen";QC5jS5Mm-177
SC2_G10;2;IST-40890;"United States";303;h58wNMWH-6
SC2_G10;2;IST-11133;GB;"DPSG Kempen";goxYoHwt-176
SC2_G10;2;IST-18688;"Czech Republic";Core;NdDCmYSj-4
SC2_G10;2;IST-54943;"Czech Republic";"AD FONTES";Zn1tjcCI-2
SC2_G11;2;IST-64944;"Czech Republic";Želivák;wSjidwOX-9
SC2_G11;2;IST-64944;"Czech Republic";Želivák;jqcw1xVk-10
SC2_G11;2;IST-11133;Germany;"DPSG Kempen";kgn3EBPm-50
SC2_G11;2;IST-11133;Germany;"DPSG Kempen";rykZcRmi-51
SC2_G11;2;IST-46593;Germany;"DPSG Wegberg";Xa8kNdXY-5
SC2_G11;2;IST-46593;Germany;"DPSG Wegberg";6tgwtP4U-6
SC2_G11;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";j9hPtKNK-24
SC2_G11;2;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";7aeIUPJU-25
SC2_G11;2;IST-17058;"United States";"St. Bernhard";CQcA30jh-19
SC2_G11;2;IST-17058;"United States";"St. Bernhard";Vts3uPFt-18
SC2_G12;2;IST-17338;"United States";"Wiesbaden Troop";mzMFRRM1-15
SC2_G12;2;IST-12285;"Czech Republic";Goliath;DoShEgtL-5
SC2_G12;2;IST-17338;"United States";"Wiesbaden Troop";y0G4RuEP-14
SC2_G12;2;IST-16632;Poland;HSDeserterzy;sGt3lA9L-1
SC2_G12;2;IST-16632;Poland;HSDeserterzy;xmKDv4Qa-2
SC2_G12;2;IST-75688;"The Netherlands";"St. Rumoldus";vC0JTNre-3
SC2_G12;2;IST-75688;"The Netherlands";"St. Rumoldus";zWR0UK6Z-4
SC2_G12;2;IST-87889;"United States";"Girl Scouts of the USA";uSzc13On-31
SC2_G12;2;IST-87889;"United States";"Girl Scouts of the USA";vIKFoVcM-32
SC2_G12;2;IST-12285;"Czech Republic";Goliath;yoAHPkGe-6
